Title,Authors,Year,Tags,Abstract,URL,Zotero Key
Pimp-Controlled Prostitution: Still an Integral Part of Street Life,"Celia Williamson, Terry Cluse-Tolar",,"Lived Experience, Public Policy",,https://www.researchgate.net/publication/249675447_Pimp-Controlled_Prostitution_Still_an_Integral_Part_of_Street_Life,R3E55SJA
Exploring child prostitution in a major city in the West African region.,Charles Hounmenou,,"Public Policy, Social Work",,https://www.clinicalkey.com/#!/content/playContent/1-s2.0-S0145213416301429?returnurl=null&referrer=null,UZFTHRDU
A review and critique of the U.S. responses to the commercial sexual exploitation of children.,Charles Hounmenou,,"Public Policy, Social Work",,https://www.sciencedirect.com/science/article/pii/S0190740918306583,9P8PQZNS
Human Services Professionals' Awareness of Human Trafficking.,Charles Hounmenou,,"Lived Experience, Social Work",,http://web.b.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=1&sid=030ca57e-ad08-4f51-a0cd-ce03911a1b9f%40pdc-v-sessmgr02,5JRPJQCQ
Understanding the Experiences of Street Level Prostitutes,"Celia Williamson, Gail Folaron",,"Lived Experience, Mental Health, Social Work",,https://journals.sagepub.com/doi/abs/10.1177/14733250030023004?journalCode=qswa,88B593BB
"Violence, Risk, and Survival Strategies of Street Prostitution","Celia Williamson, Gail Folaron",,"Lived Experience, Social Work",,https://journals.sagepub.com/doi/abs/10.1177/019394590102300505?journalCode=wjna,NCPJXZKF
An Ecological Analysis of Risk Factors for Runaway Behavior among Individuals Exposed to Commercial Sexual Exploitation.,"Celia Williamson, Lisa Fedina",,"Lived Experience, Social Work",,http://web.b.ebscohost.com/ehost/detail/detail?vid=0&sid=7e23db49-d0aa-4863-91fc-9daf83451729%40sessionmgr101&bdata=JkF1dGhUeXBlPXNoaWImc2l0ZT1laG9zdC1saXZl#AN=137075742&db=a9h,AIKHEIM4
Women in Street-based Prostitution: A Typology of their Work Styles,"Celia Williamson, Lynda Baker",,Social Work,,https://journals.sagepub.com/doi/10.1177/1473325008100420,RP468C5C
Social Justice and Spiritual Healing: Using Micro and Macro Social Work Practice to Reduce Domestic Minor Sex Trafficking.,Celia Williamson,,"Lived Experience, Mental Health, Public Policy",,http://web.b.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=1&sid=e8bbd2d4-acd4-40d4-9891-04b9717f6184%40pdc-v-sessmgr05,IRMW5EZJ
In the Matter of Human Trafficking in Ohio: The Pursuit for Justice Continues.,Celia Williamson,,"Public Policy, Social Work",,http://web.b.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=1&sid=02a5fc93-73b2-4331-a3e4-c50cabc19e04%40pdc-v-sessmgr04,IT6JCE7B
"Police-Prostitute Interactions: Sometimes Discretion, Sometimes Misconduct","Celia Williamson PhD, Lynda Baker PhD, Morris Jenkins PhD &Terry Cluse-Tolar PhD",,Lived Experience,,https://www.tandfonline.com/doi/abs/10.1300/J059v18n02_03,DQVUXPAD
"Child Sex-Trafficking Recognition, Intervention, and Referral: An Educational Framework for the Development of Health-Care-Provider Education Programs","Cathy L. Miller, Gloria Duke & Sally Northam",,"Healthcare, Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1133990,IW6IV4HH
Sex-Trafficked Survivors: The Relation Between Posttraumatic Growth and Quality of Life,Cathy L. Perry & Viviane de Castro Pecanh,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2016.1224761,4DF794NU
Changes in federal sentencing for forced labor trafficking and for sex trafficking: A ten year assessment,Celesta A. Albonetti,,Public Policy,,https://link.springer.com/article/10.1007/s10611-013-9507-1,RDH3XPEB
Domestic Minor Sex Trafficking: A Network of Underground Players in the Midwest.,Celia Williamson,,"Public Policy, Social Work",,http://web.b.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=1&sid=6e991857-029f-46ba-9ccf-1cc691f0ec73%40pdc-v-sessmgr05,8WVPGVJP
Risk Factors for Domestic Child Sex Trafficking in the United States.,Celia Williamson,,"Public Policy, Social Work",,https://journals.sagepub.com/doi/pdf/10.1177/0886260516662306,2WFTTMH3
A Framework for the Development of Healthcare Provider Education Programs on Human Trafficking Part Three: Recommendations,"Cathy L. Miller, Makini Chisolm-Straker, Gloria Duke & Hanni Stoklosa",,Needs Review,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1635342,HH7XRX7B
Educating paediatric health‐care providers about human trafficking,"Catherine G Coughlin, Jordan Greenbaum, Kanani Titchen",,"Mental Health, Public Policy, Social Work",,https://onlinelibrary.wiley.com/doi/full/10.1111/jpc.15116,TRBRUNAV
The Disease Outbreak-Human Trafficking Connection: A Missed Opportunity.,Catherine Worsnop,,"Healthcare, Social Work",,https://www.ncbi.nlm.nih.gov/pubmed/?term=Worsnop%20CZ%5BAuthor%5D&cauthor=true&cauthor_uid=31173508,4QE9MDTI
Human Trafficking: What the New IOM Dataset Reveals,Cassandra E. DiRienzo,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1808383,DV34ESZG
The Intersection of Race and Gender in Human Trafficking Vulnerability and Criminalization,Cassandra Gonzalez,,"Lived Experience, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/S1521-613620220000027008/full/html,FCKVXNV4
“I Went from Being Held Captive to Captivity Again”: How the Criminal Legal System Fails Black Women and Girl Survivors of Sex Trafficking,Cassandra Gonzalez,,"Lived Experience, Public Policy, Social Work",,https://assets.pubpub.org/dka3x5q5/31667471846333.pdf,MMTEBBF3
"“This Pandemic Has Opened Another Box of War”: COVID-19, Safeguarding, and Research on Human Trafficking and Modern Slavery in Kenya and Uganda","Catherine Barasa Asekenye, Alex Balch, Willis Okumu, Geoffrey Omony, Linnea Renton & Jassi Sandhar",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2022.2066873,6C5I698D
The impact of human trafficking in relation to maternity care: A literature review,Catherine Collins & Katy Skarparis,,Social Work,,https://www.sciencedirect.com/science/article/abs/pii/S026661382030019X,DSP2ICFK
Human Trafficking Education for Emergency Department Providers,"Caroline Shadowen, Sarah Beaverson, Fidelma B. Rigby",,"Public Policy, Social Work",,antitraffickingreview.org/index.php/atrjournal/article/view/575/428,HKFIHW6G
Screening for Human Trafficking of Minors in Health Care: A Systematic Review,"Carrie Anne Valadez, Michelle Munro-Kramer & Wanda Gibson-Scipio",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2139489,ADNJJWQC
An Examination of Some Central Debates on Sex Trafficking in Research and Public Policy in the United States,Carrie N. Baker,,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1023672,U7W43A49
The Quest of the Grassroots Heroes: Narrative Resilience in Nonprofit Organizing for Human Trafficking Prevention,"Carson S Kay, Caroline Waldbuesser & Lucas Hackenburg",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2136452,2VCSEVR9
Share our stories: An exploration of the healthcare experiences of child sex trafficking survivors,"Carmelle Wallace, Ilana Lavina, Cynthia Mollen",,"Lived Experience, Mental Health, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0145213420305512?via%3Dihub,DJMEJK8Z
A Survivor-Derived Approach to Addressing Trafficking in the Pediatric ED,"Carmelle Wallace, Yvette Schein, Gina Carabelli, Heta Patel, Needhi Mehta, Nadia Dowshen, Nancy Kassam-Adams, Kenneth Ginsburg and Cynthia Mollen",,Lived Experience,,https://pediatrics.aappublications.org/content/147/1/e20200772,PCJI9UEB
Disability and the Risk of Vulnerability to Human Trafficking: An Analysis of Case Law,"Caroline Jagoe, Pei Ying Natalie Toh & Gillian Wylie",,"Mental Health, Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2022.2111507,8IF8QEH4
Factors Related to Psychiatric Hospital Readmission for Survivors of Human Trafficking,C. Nicole White & Katherine Robichaux,,"Healthcare, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2139490,7QADEQAC
Exploring the Nature of Anti-trafficking Laws: A Content Analysis of State Statutes,"Caralin Branscum, Calli M. Cain & Seth Wyatt Fallik",,"Law Enforcement, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1917213,MG33WXRK
Evaluating and Validating the Classification Accuracy of a Screening Instrument to Assess Risk for Commercial Sexual Exploitation of Child Welfare–Involved Children and Adolescents,"Carlomagno Panlilio, Carly Dierkhising, Jennifer Richardson, Jane Runner",,"Mental Health, Social Work",,https://journals.sagepub.com/doi/full/10.1177/00333549211065523,WFTHUVFX
What Do EMS Professionals Know about Human Trafficking? Assessing the Impact of Training,"Carly M. Charron, Brianna E. Valenzuela, Elizabeth A. Donnelly & Karen Oehme J. D.",,"Healthcare, Mental Health, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1824964,J848I9PV
Protocol Schools Can Use to Report Commercial Sexual Exploitation of Children to Child Protective Services,"Brittney Chesworth, Cynthia Rizo, Hannabeth Franchino-Olsen & L.B. Klein",,"Public Policy, Social Work",,https://www.researchgate.net/publication/358472780_Protocol_Schools_Can_Use_to_Report_Commercial_Sexual_Exploitation_of_Children_to_Child_Protective_Services,7RG5T495
Research on Human Trafficking Survivors and Mental Health Issues from 2012-2022,"Brooklyn E. Paul, Ashley L. Fromenthal, Ashley A. Messina, Sarah K. West & Manyu Li",,"Lived Experience, Mental Health, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2023.2266309,RRJTXX4S
The Need for a Mandatory Sex Trafficking Component in Physician Assistant Education," Brooks,  Brandy",,"Public Policy, Social Work",,https://journals.lww.com/jpae/Abstract/2021/09000/The_Need_for_a_Mandatory_Sex_Trafficking_Component.5.aspx,KC7UK9WG
Human Trafficking and Exploitation in the Scottish Sex Industry: Clients’ Accounts,Bryony Cornforth-Camden,,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1336367,ZKJUDSBN
Trafficking Narratives and the Prosecution of NXIVM,Brian Donovan & Anna Poudel,,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2024.2313916,Q3X488BF
Sex trafficking screening and intervention in the emergency department: A scoping review,"Bridget Marcinkowski, Amy Caggiula, Brandon N. Tran, Quincy K Tran, Ali Pourmand",,"Healthcare, Social Work",,https://onlinelibrary.wiley.com/doi/10.1002/emp2.12638,E5TDJME7
In Between the Missing and Murdered: The Need for Indigenous-Led Responses to Trafficking,"Brianna Olson-Pitawanakwat, Cyndy Baskin",,"Lived Experience, Public Policy, Social Work",,https://journals.sagepub.com/doi/10.1177/0886109920944526,QIJEN98H
"Nations, migration and domestic labor: The case of the UK",Bridget Anderson,,Social Work,,https://www.researchgate.net/publication/260045080_Nations_migration_and_domestic_labor_The_case_of_the_UK,KHBCQHQT
Client-Perpetrated Violence Toward Female Sex Workers in Kathmandu,"Brieanne Beaujolais, Marissa Kaloga, Sharvari Karandikar, Lindsay B. Gezinski, Pradipta Kadambari, Kipa Maskey",,"Lived Experience, Social Work",,https://journals.sagepub.com/doi/abs/10.1177/1077801219832117?journalCode=vawa,279PFSKN
When the Abyss Looks Back: Treatments of Human Trafficking in Superhero Comic Books.,Bond Benton and Daniela Peterka-Benton,,"Lived Experience, Mental Health",,https://digitalcommons.montclair.edu/justice-studies-facpubs/184/,3MJDCKPP
Truth as a Victim: The challenge of anti-trafficking education in the age of Q,Bond Benton and Daniela Peterka-Benton,,"Mental Health, Public Policy, Social Work",,https://www.antitraffickingreview.org/index.php/atrjournal/article/view/579/436,PUF8ERQB
Violence Against Trafficked and Nontrafficked Sex Workers in Poland,"Breanna Yvonne Jedrzejewski, Kristopher Fennie & Kaveh Khoshnood",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2016.1158015,SRKF4PG9
Challenging and Effort of Human Trafficking in Nepal,"Bishnu Sapkota, Jana Bhawana & Campus Lalitpur",,Needs Review,,https://www.researchgate.net/publication/344045044_CHALLENGING_AND_EFFORT_OF_HUMAN_TRAFFICKING_IN_NEPAL,QUJJR52H
Nepal's Girl Trafficked into India : A Narrative Study,Bishnu Sapkota,,"Lived Experience, Public Policy, Social Work",,https://www.researchgate.net/publication/344045063_Nepal's_Girl_Trafficked_into_India_A_Narrative_Study,K7AKG8P8
"Age-Related Differences in Trauma Experiences, Mental-Health Needs, and Mental-Health-Service Use in Victims of Human Trafficking: A Pilot Investigation of Transition-Aged Youth Compared to Older Adults",Bita Ghafoori & Rachel Taylor,,"Healthcare, Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2016.1219840,XR5DVG75
Clinical Profiles and Factors Associated With Treatment Initiation in Survivors of Sex Trafficking: A Comparison With Survivors of Domestic Violence and Sexual Assault,"Bita Ghafoori, Gabriela Martinho, Mariana Gonçalves, Marlene Matos",,"Lived Experience, Social Work",,https://psycnet.apa.org/fulltext/2022-66859-001.html,77G55RSH
Human Trafficking Trends,Bishnu Sapkota,,"Lived Experience, Mental Health, Social Work",,https://www.nepjol.info/index.php/rnjds/article/view/25276?fbclid=IwAR1jjQixtdBYCXgrzUY6J17KP_Ufy6ISWN82sSRGV-kIUtHX48N4qmTIcz4,2P4U2BA9
"Human Trafficking “Modern Day Slavery” Promoting the Need for Adequate Screening, Assessment, and Interventions for Physical and Mental Conditions by Healthcare Professionals",Bernice Roberts Kennedy,,"Mental Health, Social Work",,https://www.researchgate.net/publication/341032879_Human_Trafficking_Modern_Day_Slavery_Promoting_the_Need_for_Adequate_Screening_Assessment_and_Interventions_for_Physical_and_Mental_Conditions_by_Healthcare_Professionals,MTQIDMV9
Being Stranded En Route: Navigating Ethiopian Men’s Trafficking Experience along the Eastern Desert Route,Biniyam Bogale,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.2019531,EAGT7JTC
Sex trafficking in Nepal,Bishnu Sapkota,,"Public Policy, Social Work",,https://www.nepjol.info/index.php/rnjds/article/view/21271,77V9KVM7
Human Trafficking: Challenges and Opportunities for the 21st Century. Outcomes and Proposals,Benjamin Thomas Greer,,"Lived Experience, Public Policy, Social Work",,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3098105,DNSPRZZZ
Corporate supply chain transparency: California's seminal attempt to discourage forced labour,Benjamin Thomas Greer & Jeffrey G. Purvis,,Social Work,,https://www.tandfonline.com/doi/abs/10.1080/13642987.2015.1039318,M7V9TPIJ
Balancing the equity of mental health injuries: examining the “trauma exception” for sex trafficking T-VISA applicants,Benjamin Thomas Greer & Scott Davidson Dyle,,Social Work,,https://www.emerald.com/insight/content/doi/10.1108/IJMHSC-11-2013-0042/full/html,DNK9HW3Z
Should sex traffickers be subject to sexually violent predator laws?,"Benjamin Thomas Greer, Grace Cotulla, Halleh Seddighzadeh",,"Law Enforcement, Mental Health, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/JCP-03-2016-0008/full/html,QWGHFBSA
Quantifying the Relationship between Large Public Events and Escort Advertising Behavior,"Benedikt Boecking, Kyle Miller, Emily Kennedy & Artur Dubrawski",,"Lived Experience, Mental Health",,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1458488,ZQMHBFF7
Opaque Transparency: Why California's Supply Chain Transparency Act is Unenforceable,Benjamin Thomas Greer,,Public Policy,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3082186,PIANKV97
Identity Construction of Men Who Pay Women for Sex: A Qualitative Meta-Synthesis,Ayelet Prior & Einat Peled,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/00224499.2021.1905763,BEFZRMSV
Student Perceptions of an Interprofessional Short Course Designed to Increase Awareness of Human Trafficking," Begley, Kimberley; Aden, Megan; Fuji, Kevin; Johnson, Lisa; Patterson, Angela; Pick, Amy; Haddad, Ann Ryan & Todd,  Martha",,"Public Policy, Social Work",,https://www.ingentaconnect.com/content/asahp/jah/2022/00000051/00000002/art00015,Z2QAGXNK
Multidisciplinary Human Trafficking Education: Inpatient and Outpatient Healthcare Settings,B. M. Nordstrom,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1775049,QWQ2V88Q
Aftercare for Survivors of Human Trafficking,Becca C. Johnson,,"Healthcare, Mental Health",,https://www.scribd.com/document/324584925/Aftercare-for-Survivors-of-Human-Trafficking,5GDS367A
Training Experiences of Emergency Department Providers in the Recognition of Child Trafficking," Bechtel, Kirsten; Passmore, Sarah; Kondis, Jamie; Walker Descartes, Ingrid; Adewusi, Adebimpe; Greenbaum,  Virginia",,"Healthcare, Public Policy, Social Work",,https://journals.lww.com/pec-online/Abstract/9000/Training_Experiences_of_Emergency_Department.97541.aspx,6QT3GESB
Gendered power relations in women-to-men interviews on controversial sexual behavior,Ayelet Prior & Einat Peled,,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/13645579.2021.1882193,8HFJP5X8
Victim Profiles: Direct and Indirect Effects of Anecdotes and Responsibility Attribution on Support for Sex Trafficking Victims,Autumn Shafer & Britney Looney,,"Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1423444,4TCQMDIQ
Imperfect Victims and an Imperfect Protocol: Reflecting on the Trafficking Experiences of Indonesian Migrant Fishermen,Avyanthi Azis & Ridwan Wahyudi,,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2020.1691302,EWSC7UC3
Professional socialization and international norms: Physicians against organ trafficking,Asif Efrat,,Needs Review,,https://journals.sagepub.com/doi/abs/10.1177/1354066114542664?journalCode=ejta,SGHJPDR8
"Global Efforts against Human Trafficking: The Misguided Conflation of Sex, Labor, and Organ Trafficking",Asif Efrat,,Social Work,,http://portal.idc.ac.il/FacultyPublication.Publication?PublicationID=4176&FacultyUserName=YXNpZg==,NNT8N67Q
"Mental Health Needs of Sex Trafficking Survivors in New York City: Reflections on Exploitation, Coping, and Recovery","Audrey Mumey, Srishti Sardana, Randall Richardson-Vejlgaard, Adeyinka Akinsulure-Smith",,"Lived Experience, Mental Health, Social Work",,https://psycnet.apa.org/fulltext/2020-79438-001.html,EJ87677E
Human Trafficking Patterns of Thai Female Sex Workers in Europe: Potential Mechanisms for Preventing and Solving the Sex Trafficking,Auschala Chalayonnavin,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2281215,BARNJ4B6
Recruitment of Migrant Workers in Bangladesh: Elements of Human Trafficking for Labor Exploitation,Ashraful Azad,,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1422091,9MI73EVD
Eliminating Corporate Exploitation: Examining Accountability Regimes as Means to Eradicate Forced Labor from Supply Chains,Ashley Feasley,,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/23322705.2016.1137194,7VQHBTET
Integrating trauma-informed care into clinical practice with trafficked persons,"Ashley Lanehurst, Mollie Gordon, John Coverdale, C. Nicole White and Phuong Nguyen",,"Mental Health, Social Work",,https://guilfordjournals.com/doi/10.1521/bumc.2022.86.suppA.44,PPGF42GS
Human Trafficking: A Research Synthesis on Human-Trafficking Literature in Academic Journals from 2000–2014,Ashley Russell,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1292377,ZI9QXFFM
Iron Shackles to Invisible Chains: Breaking the Binds of Collateral Consequences,Artika Tyner & Darlene Fry,,Mental Health,,https://www.researchgate.net/publication/342752631_Iron_Shackles_to_Invisible_Chains_Breaking_the_Binds_of_Collateral_Iron_Shackles_to_Invisible_Chains_Breaking_the_Binds_of_Collateral_Consequences_Consequences_IRON_SHACKLES_TO_INVISIBLE_CHAINS_BREAKI,9479QPPF
Leveraging Publicly Available Data to Discern Patterns of Human-Trafficking Activity,"Artur Dubrawski, Kyle Miller, Matthew Barnes, Benedikt Boecking & Emily Kennedy",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1015342,7ZK5II6T
Trafficking of labor migrants and exposure to interpersonal violence: Evidence from India,Arun Kumar Acharya & Sushree Subhalaxmi Behera,,"Public Policy, Social Work",,https://journals.sagepub.com/doi/10.1177/26330024231168901,9WAQPNHK
"Preventing the Trafficking of Youth: A Retrospective Evaluation of kNow MORE! An Educational Program in San Diego, California","Arduizur Carli Richie-Zavaleta, Kimberley Berry Jones, Luz Aramburo & Kyla Grace Kinzle",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2024.2369008,J7RGRKXZ
"Future Public Health Anti-trafficking Training: An Exploratory Inquiry among Public Health Graduate Students to Understand their Levels of Awareness, Knowledge, and Self-efficacy in Order to Prevent, Identify, and Assist Survivors of Human Trafficking","Arduizur Carli Richie-Zavaleta, Sarbinaz Bekmuratova, Edina Butler & Lauren M Homicile",,"Mental Health, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2108289,53QWTJZK
"Survivors of Commercial Sexual Exploitation Involved in the Justice System: Mental Health Outcomes, HIV/STI Risks, and Perceived Needs to Exit Exploitation and Facilitate Recovery","Arduizur Carli Richie-Zavaleta, Edina Butler, Kathi Torres and Lianne A. Urada",,"GAHTS_Category: Not Specified, Geographic_Focus: Global, Healthcare, Law Enforcement, Mental Health, Methods_Used: Not Specified, Open_Access: Unknown, Target_Audience: Researchers",,https://www.mdpi.com/2411-5118/4/2/17,CMBT767D
From Victimization to Restoration: Multi-Disciplinary Collaborative Approaches to Care and Support Victims and Survivors of Human Trafficking,"Arduizur Carli Richie-Zavaleta, Sarah Baranik, Stephanie Merch, Janna Aitants & Shea M. Rhodes",,"GAHTS_Category: Not Specified, Geographic_Focus: Global, Lived Experience, Methods_Used: Not Specified, Open_Access: Unknown, Social Work, Target_Audience: Researchers",,https://www.tandfonline.com/doi/full/10.1080/23322705.2020.1730132,DC553JZ7
A Diaspora Approach to Understanding Human Trafficking for Labor Exploitation,Antonela Arhin,,"Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2016.1136538,9NKDU2F7
"Exploring a public health approach to modern slavery: potential, problems and translating principles into practice","April McCoig, Ines Campos-Matos, and Liz Such",,"Mental Health, Social Work",,https://bristoluniversitypressdigital.com/view/journals/jpsj/30/2/article-p141.xml,CJE99KR8
Compassionate Care—Going the Extra Mile: Sex Trafficking Survivors’ Recommendations for Healthcare Best Practices,"Arduizur C. Richie-Zavaleta, Augusta M. Villanueva, Lauren M. Homicile and Lianne A. Urada",,"Lived Experience, Public Policy, Social Work",,https://www.mdpi.com/2411-5118/2/1/3/htm,RCN7IK5I
Sex Trafficking Victims at Their Junction with the Healthcare Setting—A Mixed-Methods Inquiry,"Arduizur Carli Richie-Zavaleta, Augusta Villanueva, Ana Martinez-Donate, Renee M. Turchi, Janna Ataiants & Shea M. Rhodes",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2018.1501257,XJ956S7M
What’s the Mission? Discursive Power and Human Rights–Based Language in Anti-Trafficking Organizations,Annie Isabel Fukushima & Kristin Heffernan,,Social Work,,https://link.springer.com/article/10.1007%2Fs41134-019-00109-w,FHZAEUFS
Multiplicity of stigma: cultural barriers in anti-trafficking response,"Annie Isabel Fukushima, Kwynn Gonzalez-Pons, Lindsay Gezinski, Lauren Clark",,"Lived Experience, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/IJHRH-07-2019-0056/full/html,TJCP85A7
The Colorado Project to Comprehensively Combat Human Trafficking: Community-Based Participatory Research in Action,"Annie Miller, Annjanette R. Alejano-Steele, Amanda Finger & Kara Napolitano",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.2019532,VHHTVCPJ
Female Perpetrators in Internal Child Trafficking in China: An Empirical Study,Anqi Shen,,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2016.1136537,RMKTRBFH
Witnessing in a Time of Homeland Futurities,Annie Isabel Fukushima,,Needs Review,,https://www.antitraffickingreview.org/index.php/atrjournal/article/view/445/358,ITTC7U4Q
"Framing an Emerging Issue: How U.S. Print and Broadcast News Media Covered Sex Trafficking, 2008–2012","Anne Johnston, Barbara Friedman & Meghan Sobel",,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2014.993876,HMS2HIC7
A Survey of Child Welfare and Labor Trafficking in California,Annie Fukushima,,"Public Policy, Social Work",,https://anniefukushima.files.wordpress.com/2020/01/childwelfare_2020_whitepaper_afukushima-final-2.pdf,JVW8A5RK
"How to Stage a Raid: Police, media and the master narrative of trafficking",Annie Hill,,"Lived Experience, Public Policy",,https://www.antitraffickingreview.org/index.php/atrjournal/article/view/199,CIK69BR9
Food Matters: Trafficked Transnational Migrants’ Experiences and the Matrix of Food (In)Security,Annie Isabel Fukushima,,"Lived Experience, Mental Health",,https://academic.oup.com/jhrp/article/doi/10.1093/jhuman/huaa024/5861736?guestAccessKey=78647d96-58a7-44d6-a364-7900b870b572,HD6Z55A2
Why are You Here? Modeling Illicit Massage Business Location Characteristics with Machine Learning,"Anna White, Seth Guikema & Bridgette Carr",,Needs Review,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1982238,27INRP5Z
"Knowledge Mobilization by Provincial Politicians: The United Front against Trafficking in Ontario, Canada","Ann De Shalit, Katrin Roots & Emily van der Meulen",,"Law Enforcement, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1934370,V5WTVEHE
Healthcare providers’ perspectives on the relevance and utility of recommended sex trafficking indicators: A qualitative study,Anna C. Pederson & Lara B. Gerassi,,"Mental Health, Social Work",,https://onlinelibrary.wiley.com/doi/full/10.1111/jan.15019,X8X9GNIE
Expelling Slavery from the Nation: Representations of labour exploitation in Australia’s supply chain,Anna Szörényi,,Social Work,,https://www.antitraffickingreview.org/index.php/atrjournal/article/view/201,G4N9WHHW
Transgender People and Human Trafficking: Intersectional Exclusion of Transgender Migrants and People of Color from Anti-trafficking Protection in the United States,"Anne E. Fehrenbacher, Jennifer Musto, Heidi Hoefinger, Nicola Mai, P.G. Macioti, Calogero Giametta & Calum Bennachie",,"Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2020.1690116,5HUJP6MX
A Human Trafficking Educational Program and Point-of-Care Reference Tool for Pediatric Residents,"Anjali Garg, Preeti Panda, Sindhoosha Malay, Jerri A. Rose",,Social Work,,https://www.mededportal.org/doi/10.15766/mep_2374-8265.11179,T7EAKH66
Applying Telemental Health Services for Adults Experiencing Trafficking,"Anka A. Vujanovic, Mollie R. Gordon, John H. Coverdale, Phuong T. Nguyen",,"Healthcare, Social Work",,https://journals.sagepub.com/doi/full/10.1177/00333549221085243,5SAKRCXV
Sexual victimization and intellectual disabilities among child welfare involved youth,"Ann Carrellas, Stella M. Resko, Angelique G.Day",,"Mental Health, Public Policy, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0145213421000594?via%3Dihub,ZAC4M7P6
“Got Sold a Dream and It Turned into a Nightmare”: The Victim-Offender Overlap in Commercial Sexual Exploitation,Angie C. Henderson & Shea M. Rhodes,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.2019530,6E2V75QV
"Physical, Mental, and Socioeconomic Health Issues of Sex and Labor Trafficking Survivors Engaged in Primary Care Services","Anita Ravi, Saskia Shuman, Nandini Shroff, Claudia London-Orozco & Keisha Walcott",,Mental Health,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2096368,V82V8AH4
Barriers to the access and utilization of healthcare for trafficked youth: A systematic review,"Anjali Garg, Preeti Panda, Mandy Neudecker, Sara Lee",,Social Work,,https://www.sciencedirect.com/science/article/pii/S014521341930314X,CJTI8IRP
